tol,h,Ecut,c11,c12,c44,stress1,stress2,dstress
0.01,0.001,41.0,1054.3908287993986,126.95106889288228,561.1173899897622,"[-5.004033291219835e-5, -1.767886952792925e-5, -1.7678869527929262e-5, -1.8943731404801095e-5, 0.0, -3.3881317890172014e-21]","[2.1635698919709314e-5, -9.04891125579398e-6, -9.048911255793986e-6, 1.9200253546337807e-5, 0.0, 1.6940658945086007e-21]","[0.035838015915953834, 0.004314979136067635, 0.004314979136067638, 0.01907199247556945, 0.0, 2.541098841762901e-18]"
0.0001,0.001,41.0,1051.9394889801433,124.08502898161485,563.0460976661897,"[-3.551517314836443e-5, -3.9537837466801525e-6, -3.95378374668018e-6, -1.9120443010457508e-5, 0.0, -3.3881317890172014e-21]","[3.599421998931652e-5, 4.481345091908703e-6, 4.481345091908703e-6, 1.915465282388917e-5, 0.0, 3.3881317890172014e-21]","[0.03575469656884047, 0.004217564419294427, 0.004217564419294441, 0.01913754791717334, 0.0, 3.3881317890172014e-18]"
1.0e-6,0.001,41.0,1051.1833236493544,123.25243378820788,562.5535972746361,"[-3.577387735245261e-5, -4.218357343463894e-6, -4.218357343463867e-6, -1.9150755831075277e-5, 0.0, -3.3881317890172014e-21]","[3.568411271073315e-5, 4.160172824161856e-6, 4.160172824161829e-6, 1.9090860507075082e-5, 0.0, 3.3881317890172014e-21]","[0.03572899503159288, 0.004189265083812875, 0.0041892650838128475, 0.01912080816907518, 0.0, 3.3881317890172014e-18]"
1.0e-8,0.001,41.0,1051.3043005845946,123.3681763882929,562.587084206026,"[-3.577521788033865e-5, -4.219734100956125e-6, -4.219734100956111e-6, -1.9151023826597854e-5, 0.0, -3.3881317890172014e-21]","[3.569099602776718e-5, 4.166664088717435e-6, 4.166664088717448e-6, 1.9092868906884005e-5, 0.0, 3.3881317890172014e-21]","[0.03573310695405292, 0.00419319909483678, 0.00419319909483678, 0.01912194636674093, 0.0, 3.3881317890172014e-18]"
1.0e-10,0.001,41.0,1051.3047057082986,123.36856143236976,562.5870044099521,"[-3.5775183992255936e-5, -4.219701282589272e-6, -4.219701282589286e-6, -1.9151012566093396e-5, 0.0, -3.3881317890172014e-21]","[3.5691057455599605e-5, 4.16672308184867e-6, 4.16672308184867e-6, 1.9092874742961608e-5, 0.0, 3.3881317890172014e-21]","[0.035733120723927765, 0.004193212182218971, 0.004193212182218978, 0.0191219436545275, 0.0, 3.3881317890172014e-18]"
1.0e-12,0.001,41.0,1051.3047093639393,123.36856519645993,562.5870035509987,"[-3.5775183744297645e-5, -4.219701035281523e-6, -4.219701035281537e-6, -1.9151012483453192e-5, 0.0, -3.3881317890172014e-21]","[3.56910579520633e-5, 4.166723585034067e-6, 4.166723585034081e-6, 1.9092874767211338e-5, 0.0, 3.3881317890172014e-21]","[0.03573312084818047, 0.004193212310157795, 0.004193212310157809, 0.019121943625332267, 0.0, 3.3881317890172014e-18]"
0.01,1.0e-5,41.0,1522.650649734597,1022.8482123954394,423.07325016628624,"[-1.4711124991089378e-5, -1.3488556656712116e-5, -1.348855665671215e-5, -7.201710673877294e-8, 0.0, 1.6940658945086007e-21]","[-1.367604811581417e-5, -1.279323857324258e-5, -1.2793238573242593e-5, 2.1558224369067444e-7, 0.0, -1.6940658945086007e-21]","[0.05175384376376041, 0.03476590417347681, 0.03476590417347782, 0.014379967521472367, 0.0, -1.6940658945086004e-16]"
0.0001,1.0e-5,41.0,898.0137133083402,-33.34196094676056,590.1571186558235,"[-3.21647217396637e-8, 2.9319667686316915e-7, 2.931966768631556e-7, -1.49854929838723e-7, 0.0, 1.6940658945086007e-21]","[5.782925939206953e-7, 2.7053127245255375e-7, 2.7053127245255375e-7, 2.513257260170143e-7, 0.0, -1.6940658945086007e-21]","[0.03052286578301795, -0.00113327022053077, -0.0011332702205300925, 0.020059032792786865, 0.0, -1.6940658945086004e-16]"
1.0e-6,1.0e-5,41.0,1059.8717962467247,129.16612771191154,565.5527100179523,"[-3.649578351840836e-7, -4.817666373356565e-8, -4.817666373353854e-8, -1.9268050119167418e-7, 0.0, 1.6940658945086007e-21]","[3.555283690825361e-7, 3.962868537047716e-8, 3.962868537047716e-8, 1.917744175980321e-7, 0.0, -1.6940658945086007e-21]","[0.03602431021333098, 0.0043902674552021405, 0.004390267455200785, 0.019222745939485315, 0.0, -1.6940658945086004e-16]"
1.0e-8,1.0e-5,41.0,1056.809927543219,125.10665449582766,564.6030636281217,"[-3.5924864359861226e-7, -4.256863196217908e-8, -4.256863196215198e-8, -1.9191179943078694e-7, 0.0, 1.6940658945086007e-21]","[3.591561446250826e-7, 4.247714333384682e-8, 4.2477143333873924e-8, 1.9189756286309845e-7, 0.0, -1.6940658945086007e-21]","[0.03592023941118474, 0.004252288764801295, 0.004252288764801295, 0.019190468114694267, 0.0, -1.6940658945086004e-16]"
1.0e-10,1.0e-5,41.0,1056.8866900156106,125.18162075684047,564.6238602910314,"[-3.5923844697032866e-7, -4.255867478443725e-8, -4.255867478443725e-8, -1.919143573332399e-7, 0.0, 1.6940658945086007e-21]","[3.592185233215741e-7, 4.2538061540117245e-8, 4.2538061540117245e-8, 1.9190914224477197e-7, 0.0, -1.6940658945086007e-21]","[0.03592284851459514, 0.004254836816227725, 0.004254836816227725, 0.01919117497890059, 0.0, -1.6940658945086004e-16]"
1.0e-12,1.0e-5,41.0,1056.8864246232395,125.18132036674623,564.6239743232347,"[-3.592385892025414e-7, -4.255882261576939e-8, -4.255882261578294e-8, -1.9191441166115595e-7, 0.0, 1.6940658945086007e-21]","[3.5921820067929416e-7, 4.2537709507749146e-8, 4.2537709507749146e-8, 1.9190916543437233e-7, 0.0, -1.6940658945086007e-21]","[0.03592283949409177, 0.004254826606175926, 0.004254826606176604, 0.019191178854776413, 0.0, -1.6940658945086004e-16]"
0.01,1.0e-7,41.0,-129466.42023820472,-117592.41600072829,-26441.69286285466,"[-1.3741125392271683e-5, -1.3178776350059043e-5, -1.3178776350059043e-5, 3.878726493163382e-7, 0.0, 0.0]","[-1.4621220230418476e-5, -1.39781533478708e-5, -1.3978153347870813e-5, 2.081256743274206e-7, 0.0, 0.0]","[-4.400474190733965, -3.996884989058782, -3.9968849890588496, -0.898734874944588, 0.0, 0.0]"
0.0001,1.0e-7,41.0,-1102.10282678862,-3330.204417240793,-3778.49305785264,"[3.2219632865661e-7, 3.3779778998162637e-7, 3.377977899816535e-7, 5.601260270343982e-8, 0.0, 0.0]","[3.1470438590281304e-7, 3.1515952044273955e-7, 3.1515952044276665e-7, 3.032692891968067e-8, 0.0, 0.0]","[-0.03745971376898494, -0.11319134769443413, -0.11319134769443413, -0.12842836891879575, 0.0, 0.0]"
1.0e-6,1.0e-7,41.0,330.8676994059702,-622.2541000627326,470.9373922526735,"[-2.0753137735552996e-9, 1.1187673037467297e-9, 1.1187673037602822e-9, -1.5510249861512084e-9, 0.0, 0.0]","[1.7387913547030493e-10, -3.111230100006951e-9, -3.111230100006951e-9, 1.650342343302318e-9, 0.0, 0.0]","[0.011245964545128023, -0.021149987018768406, -0.021149987018836167, 0.016006836647267632, 0.0, 0.0]"
1.0e-8,1.0e-7,41.0,1051.406101983895,120.14070996951703,563.0050315089305,"[-3.621274311553506e-9, -4.5474596341939146e-10, -4.5474596341939146e-10, -1.9187439356967435e-9, 0.0, 0.0]","[3.526039111104993e-9, 3.6195398472871603e-10, 3.6195398472871603e-10, 1.9084864856744345e-9, 0.0, 0.0]","[0.0357365671132925, 0.0040834997407405375, 0.0040834997407405375, 0.019136152106855892, 0.0, 0.0]"
1.0e-10,1.0e-7,41.0,1056.8242691601433,125.11466077420513,564.6118174069316,"[-3.596859868116233e-9, -4.300267316309546e-10, -4.300267316580597e-10, -1.9190392558831118e-9, 0.0, 0.0]","[3.5872855064511768e-9, 4.204854469035948e-10, 4.204854468900423e-10, 1.9191138740346992e-9, 0.0, 0.0]","[0.03592072687283705, 0.004252560892672747, 0.00425256089274051, 0.019190765649589055, 0.0, 0.0]"
1.0e-12,1.0e-7,41.0,1056.8852362513107,125.18019544084913,564.6238817018143,"[-3.5974463842480615e-9, -4.3064537774294056e-10, -4.3064537772938803e-10, -1.9191264537454133e-9, 0.0, 0.0]","[3.5871134361821016e-9, 4.2031229640141204e-10, 4.2031229640141204e-10, 1.9191086875822484e-9, 0.0, 0.0]","[0.03592279910215082, 0.004254788370721763, 0.004254788370654, 0.01919117570663831, 0.0, 0.0]"
